Tm,Y/P,Passing Y/A,Rushing Y/A,Pass Defense Ranking,Rush Defense Ranking
Lions,4.8,5.8,3.0,6,1
Seahawks,4.8,5.8,3.5,7,2
Cardinals,5.6,6.7,3.9,23,6
Bills,4.9,5.6,3.9,3,7
Chiefs,5.3,5.6,4.9,4,31
Ravens,5.6,6.6,3.7,19,5
Dolphins,5.0,5.5,4.4,2,21
Texans,5.4,6.5,3.9,18,8
Patriots,5.4,6.2,4.1,9,13
49ers,5.1,6.0,3.9,8,9
Browns,5.2,5.7,4.4,5,22
Chargers,5.4,6.3,4.2,12,15
Vikings,5.4,6.2,4.4,10,23
Rams,5.5,6.4,4.2,13,16
Bengals,5.4,6.2,4.4,11,24
Broncos,4.8,5.4,3.5,1,3
Cowboys,5.9,7.1,4.4,27,25
Packers,5.5,6.4,4.4,14,26
Colts,5.6,6.4,4.4,15,27
Eagles,5.3,6.4,3.9,16,10
Steelers,6.1,7.2,4.4,29,28
Giants,5.9,6.8,4.9,24,32
Panthers,5.6,6.4,4.4,17,29
Falcons,6.2,7.7,4.3,32,17
Redskins,5.8,7.1,4.0,28,12
Buccaneers,5.5,6.8,3.9,25,11
Jets,5.5,6.8,3.5,26,4
Raiders,5.4,6.6,4.1,20,14
Jaguars,5.5,6.6,4.3,21,18
Saints,6.2,7.2,4.8,30,30
Titans,5.5,6.6,4.3,22,19
Bears,6.0,7.2,4.3,31,20
