Tm,Y/P,Passing Y/A,Rushing Y/A,Pass Defense Ranking,Rush Defense Ranking
Chicago Bears,4.9,5.6,3.5,10,4
Philadelphia Eagles,4.6,5.1,4.0,2,15
Pittsburgh Steelers,4.5,5.1,3.5,3,5
Baltimore Ravens,4.4,5.1,3.4,4,2
Green Bay Packers,4.7,5.0,4.4,1,22
New England Patriots,5.3,6.0,4.3,19,21
St. Louis Rams,4.7,5.3,3.8,6,11
Tampa Bay Buccaneers,4.9,5.5,4.1,8,18
San Francisco 49ers,5.0,5.6,4.0,11,16
Jacksonville Jaguars,4.8,5.9,3.4,16,3
Miami Dolphins,4.8,5.6,3.9,12,12
New York Jets,5.0,5.5,4.5,9,26
Washington Redskins,4.9,6.0,3.9,20,13
Cincinnati Bengals,4.8,5.6,3.7,13,9
Cleveland Browns,4.9,5.2,4.5,5,27
New York Giants,5.0,6.0,3.6,21,7
San Diego Chargers,4.8,5.9,3.3,17,1
Seattle Seahawks,5.1,5.8,4.0,15,17
Oakland Raiders,5.1,5.4,4.6,7,28
Dallas Cowboys,4.7,5.6,3.6,14,8
Denver Broncos,5.0,5.9,3.7,18,10
Arizona Cardinals,5.3,6.3,4.2,23,19
Kansas City Chiefs,5.3,6.1,4.4,22,23
Atlanta Falcons,6.1,7.1,4.8,31,30
Tennessee Titans,5.5,6.9,3.5,30,6
Minnesota Vikings,5.8,6.6,4.8,26,31
New Orleans Saints,5.3,6.6,3.9,27,14
Carolina Panthers,5.6,6.8,4.4,29,24
Buffalo Bills,5.5,6.5,4.4,24,25
Detroit Lions,5.4,6.5,4.2,25,20
Indianapolis Colts,5.7,6.6,4.6,28,29
