Tm,Y/P,Passing Y/A,Rushing Y/A,Pass Defense Ranking,Rush Defense Ranking
Pittsburgh Steelers,4.5,5.3,3.0,1,1
Green Bay Packers,5.1,5.4,4.7,3,28
Baltimore Ravens,5.1,5.8,3.9,6,7
Chicago Bears,5.0,5.8,3.7,7,5
Atlanta Falcons,5.6,6.1,4.6,15,25
New York Jets,4.8,5.6,3.6,4,3
New Orleans Saints,5.2,5.9,4.3,10,17
New England Patriots,5.6,6.4,4.2,23,13
Tampa Bay Buccaneers,5.4,5.9,4.7,11,29
San Diego Chargers,4.6,5.3,3.7,2,6
Kansas City Chiefs,5.1,5.7,4.3,5,18
St. Louis Rams,5.3,5.8,4.5,8,22
Cleveland Browns,5.4,6.6,4.1,27,12
Miami Dolphins,5.0,6.2,3.6,20,4
Tennessee Titans,5.2,6.1,3.9,16,8
San Francisco 49ers,5.1,6.3,3.5,22,2
New York Giants,5.1,5.8,4.2,9,14
Minnesota Vikings,5.1,6.0,3.9,13,9
Detroit Lions,5.5,6.2,4.5,21,23
Oakland Raiders,5.2,5.9,4.5,12,24
Washington Redskins,5.9,6.9,4.6,29,26
Philadelphia Eagles,5.2,6.0,4.2,14,15
Indianapolis Colts,5.4,6.1,4.6,17,27
Cincinnati Bengals,5.6,6.4,4.4,24,20
Seattle Seahawks,5.5,6.4,4.2,25,16
Carolina Panthers,5.1,6.1,3.9,18,10
Jacksonville Jaguars,6.3,7.5,4.7,32,30
Buffalo Bills,5.4,6.1,4.8,19,32
Houston Texans,6.0,7.4,4.0,31,11
Arizona Cardinals,5.5,6.5,4.4,26,21
Dallas Cowboys,5.8,6.8,4.3,28,19
Denver Broncos,5.9,7.2,4.7,30,31
