Abbreivation,Team
RAV,Ravens
DEN,Broncos
RAI,Raiders
CLE,Browns
TAM,Buccaneers
CAR,Panthers
JAX,Jaguars
ATL,Falcons
GNB,Packers
DET,Lions
CHI,Bears
NYG,Giants
NWE,Patriots
RAM,Rams
PIT,Steelers
CIN,Bengals
KAN,Chiefs
NOR,Saints
SFO,49ers
OTI,Titans
BUF,Bills
MIA,Dolphins
DAL,Cowboys
MIN,Vikings
NYJ,Jets
CLT,Colts
CRD,Cardinals
SEA,Seahawks
PHI,Eagles
HTX,Texans
WAS,Redskins
SDG,Chargers
